1683722545.801202 client started (300290): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1683722545.801261 on Linux 6.2.0-76060200-generic #202302191831~1677858327~22.04~3cea1be SMP PREEMPT_DYNAMIC Fri M
1683722545.803902 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803909 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803923 sending message 112 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803929 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803936 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803943 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803950 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803957 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803964 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803970 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803977 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803984 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803990 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803997 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804003 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804010 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804016 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804023 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804029 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804036 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804043 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804049 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804056 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804063 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804070 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804077 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804084 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804091 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804099 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804105 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804112 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804118 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804125 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804132 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804139 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804145 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804152 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804159 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804166 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804177 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.804188 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804197 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804206 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804216 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804225 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804234 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.804243 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804252 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804262 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804272 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804282 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804295 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804306 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804313 sending message 112 to peer 0x556a52d9eed0 (10 bytes)
1683722545.804320 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
